ward,district,city
Phường Nhơn Phú,Thành phố Quy Nhơn,Tỉnh Bình Định
Phường Lê Lợi,Thành phố Quy Nhơn,Tỉnh Bình Định
Xã Nhơn Hải,Thành phố Quy Nhơn,Tỉnh Bình Định
Xã Nhơn Lý,Thành phố Quy Nhơn,Tỉnh Bình Định
Phường Lý Thường Kiệt,Thành phố Quy Nhơn,Tỉnh Bình Định
Phường Trần Hưng Đạo,Thành phố Quy Nhơn,Tỉnh Bình Định
Phường Ghềnh Ráng,Thành phố Quy Nhơn,Tỉnh Bình Định
Phường Nhơn Bình,Thành phố Quy Nhơn,Tỉnh Bình Định
Xã Nhơn Thọ,Thị xã An Nhơn,Tỉnh Bình Định
Xã Nhơn An,Thị xã An Nhơn,Tỉnh Bình Định
Phường Bình Định,Thị xã An Nhơn,Tỉnh Bình Định
Phường Đập Đá,Thị xã An Nhơn,Tỉnh Bình Định
Phường Nhơn Thành,Thị xã An Nhơn,Tỉnh Bình Định
Xã Nhơn Phong,Thị xã An Nhơn,Tỉnh Bình Định
Xã Nhơn Hạnh,Thị xã An Nhơn,Tỉnh Bình Định
Phường Nhơn Hoà,Thị xã An Nhơn,Tỉnh Bình Định
Xã Nhơn Tân,Thị xã An Nhơn,Tỉnh Bình Định
Xã Nhơn Lộc,Thị xã An Nhơn,Tỉnh Bình Định
Phường Hoài Xuân,Thị xã Hoài Nhơn,Tỉnh Bình Định
Xã Hoài Phú,Thị xã Hoài Nhơn,Tỉnh Bình Định
Phường Hoài Tân,Thị xã Hoài Nhơn,Tỉnh Bình Định
Phường Hoài Hảo,Thị xã Hoài Nhơn,Tỉnh Bình Định
Phường Hoài Thanh,Thị xã Hoài Nhơn,Tỉnh Bình Định
Phường Hoài Thanh Tây,Thị xã Hoài Nhơn,Tỉnh Bình Định
Xã Hoài Sơn,Thị xã Hoài Nhơn,Tỉnh Bình Định
Xã Hoài Mỹ,Thị xã Hoài Nhơn,Tỉnh Bình Định
Xã Hoài Hải,Thị xã Hoài Nhơn,Tỉnh Bình Định
Phường Hoài Đức,Thị xã Hoài Nhơn,Tỉnh Bình Định
Xã Vĩnh Hậu,Huyện Hoà Bình,Tỉnh Bạc Liêu
Thị trấn Hòa Bình,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Vĩnh Mỹ B,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Vĩnh Bình,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Vĩnh Hậu A,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Vĩnh Mỹ A,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Minh Diệu,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Vĩnh Thịnh,Huyện Hoà Bình,Tỉnh Bạc Liêu
Xã Ninh Thạnh Lợi A,Huyện Hồng Dân,Tỉnh Bạc Liêu
Thị trấn Ngan Dừa,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Ninh Quới A,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Vĩnh Lộc,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Ninh Quới,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Ninh Hòa,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Ninh Thạnh Lợi,Huyện Hồng Dân,Tỉnh Bạc Liêu
Xã Vĩnh Thanh,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Phong Thạnh Tây A,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Phong Thạnh Tây B,Huyện Phước Long,Tỉnh Bạc Liêu
Thị trấn Phước Long,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Hưng Phú,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Phước Long,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Vĩnh Phú Tây,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Vĩnh Phú Đông,Huyện Phước Long,Tỉnh Bạc Liêu
Xã Hưng Thành,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
Xã Hưng Hội,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
Xã Châu Thới,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
Thị trấn Châu Hưng,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
Xã Long Thạnh,Huyện Vĩnh Lợi,Tỉnh Bạc Liêu
Thị trấn Gành Hào,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Long Điền Tây,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Long Điền Đông A,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Long Điền,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Long Điền Đông,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã An Trạch A,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Định Thành,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Điền Hải,Huyện Đông Hải,Tỉnh Bạc Liêu
Xã Hiệp Thành,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 8,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 3,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 7,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Xã Vĩnh Trạch Đông,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 5,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 1,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 2,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Xã Vĩnh Trạch,Thành phố Bạc Liêu,Tỉnh Bạc Liêu
Phường 1,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Tân Thạnh,Thị xã Giá Rai,Tỉnh Bạc Liêu
Phường Láng Tròn,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Tân Phong,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Phong Thạnh Tây,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Phong Thạnh A,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Phong Thạnh,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Phong Thạnh Đông,Thị xã Giá Rai,Tỉnh Bạc Liêu
Phường Hộ Phòng,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Phong Tân,Thị xã Giá Rai,Tỉnh Bạc Liêu
Xã Hợp Thịnh,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Hoàng Lương,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Hòa Sơn,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Hương Lâm,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Thái Sơn,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Lương Phong,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Châu Minh,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Thị trấn Bắc Lý,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Hùng Sơn,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Xã Hoàng Vân,Huyện Hiệp Hòa,Tỉnh Bắc Giang
Thị trấn Vôi,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Tân Hưng,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Hương Sơn,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Nghĩa Hòa,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Dương Đức,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Mỹ Hà,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Yên Mỹ,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Hương Lạc,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Đào Mỹ,Huyện Lạng Giang,Tỉnh Bắc Giang
Xã Vũ Xá,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Tiên Nha,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Trường Giang,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Nghĩa Phương,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Bắc Lũng,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Đông Phú,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Lục Sơn,Huyện Lục Nam,Tỉnh Bắc Giang
Xã Tân Hoa,Huyện Lục Ngạn,Tỉnh Bắc Giang
Thị trấn Chũ,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã Cấm Sơn,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã Hồng Giang,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã Xa Lý,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã Tân Mộc,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã Phong Vân,Huyện Lục Ngạn,Tỉnh Bắc Giang
Xã An Bá,Huyện Sơn Động,Tỉnh Bắc Giang
Thị trấn An Châu,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Long Sơn,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Yên Định,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Vân Sơn,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Đại Sơn,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Vĩnh An,Huyện Sơn Động,Tỉnh Bắc Giang
Xã Phúc Sơn,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Ngọc Lý,Huyện Tân Yên,Tỉnh Bắc Giang
Thị trấn Cao Thượng,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Lam Cốt,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Song Vân,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Đại Hóa,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Hợp Đức,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Việt Ngọc,Huyện Tân Yên,Tỉnh Bắc Giang
Xã Trí Yên,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Quỳnh Sơn,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Cảnh Thụy,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Tư Mại,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Tân Liễu,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Đồng Phúc,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Nội Hoàng,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Lãng Sơn,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã Lão Hộ,Huyện Yên Dũng,Tỉnh Bắc Giang
Xã An Thượng,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Đồng Tâm,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Tam Tiến,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Hồng Kỳ,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Đồng Tiến,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Tam Hiệp,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Tiến Thắng,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Đồng Kỳ,Huyện Yên Thế,Tỉnh Bắc Giang
Xã Đồng Hưu,Huyện Yên Thế,Tỉnh Bắc Giang
Thị trấn Bố Hạ,Huyện Yên Thế,Tỉnh Bắc Giang
Phường Thọ Xương,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Trần Phú,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Xương Giang,Thành phố Bắc Giang,Tỉnh Bắc Giang
Xã Song Khê,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Ngô Quyền,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Đa Mai,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Dĩnh Kế,Thành phố Bắc Giang,Tỉnh Bắc Giang
Xã Tân Mỹ,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Trần Nguyên Hãn,Thành phố Bắc Giang,Tỉnh Bắc Giang
Phường Tăng Tiến,Thị Xã Việt Yên,Tỉnh Bắc Giang
Xã Tiên Sơn,Thị Xã Việt Yên,Tỉnh Bắc Giang
Xã Việt Tiến,Thị Xã Việt Yên,Tỉnh Bắc Giang
Phường Ninh Sơn,Thị Xã Việt Yên,Tỉnh Bắc Giang
Phường Vân Trung,Thị Xã Việt Yên,Tỉnh Bắc Giang
Xã Đồng Phúc,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Yến Dương,Huyện Ba Bể,Tỉnh Bắc Kạn
Thị trấn Chợ Rã,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Hoàng Trĩ,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Nam Mẫu,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Quảng Khê,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Chu Hương,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Phúc Lộc,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Hà Hiệu,Huyện Ba Bể,Tỉnh Bắc Kạn
Xã Quân Hà,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Quang Thuận,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Tân Tú,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Sĩ Bình,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Đôn Phong,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Vi Hương,Huyện Bạch Thông,Tỉnh Bắc Kạn
Xã Yên Cư,Huyện Chợ Mới,Tỉnh Bắc Kạn
Xã Tân Sơn,Huyện Chợ Mới,Tỉnh Bắc Kạn
Xã Hoà Mục,Huyện Chợ Mới,Tỉnh Bắc Kạn
Xã Như Cố,Huyện Chợ Mới,Tỉnh Bắc Kạn
Xã Thanh Thịnh,Huyện Chợ Mới,Tỉnh Bắc Kạn
Xã Nam Cường,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Thị trấn Bằng Lũng,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Bản Thi,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Đại Sảo,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Đồng Thắng,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Tân Lập,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Lương Bằng,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Yên Thịnh,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Phương Viên,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Xã Xuân Lạc,Huyện Chợ Đồn,Tỉnh Bắc Kạn
Thị trấn Yến Lạc,Huyện Na Rì,Tỉnh Bắc Kạn
Xã Văn Vũ,Huyện Na Rì,Tỉnh Bắc Kạn
Xã Cường Lợi,Huyện Na Rì,Tỉnh Bắc Kạn
Xã Xuân Dương,Huyện Na Rì,Tỉnh Bắc Kạn
Xã Dương Sơn,Huyện Na Rì,Tỉnh Bắc Kạn
Xã Thượng Ân,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Thuần Mang,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Thị trấn Vân Tùng,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Thị trấn Nà Phặc,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Thượng Quan,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Bằng Vân,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Trung Hoà,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Hiệp Lực,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Đức Vân,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Cốc Đán,Huyện Ngân Sơn,Tỉnh Bắc Kạn
Xã Công Bằng,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Giáo Hiệu,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã An Thắng,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Bộc Bố,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Nhạn Môn,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Xuân La,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Bằng Thành,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Cổ Linh,Huyện Pác Nặm,Tỉnh Bắc Kạn
Xã Nghiên Loan,Huyện Pác Nặm,Tỉnh Bắc Kạn
Phường Xuất Hóa,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Phường Phùng Chí Kiên,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Phường Huyền Tụng,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Phường Đức Xuân,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Phường Nguyễn Thị Minh Khai,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Xã Nông Thượng,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Xã Dương Quang,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Phường Sông Cầu,Thành Phố Bắc Kạn,Tỉnh Bắc Kạn
Xã Cao Đức,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Thái Bảo,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Đông Cứu,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Nhân Thắng,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Quỳnh Phú,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Vạn Ninh,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Đại Lai,Huyện Gia Bình,Tỉnh Bắc Ninh
Thị trấn Gia Bình,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Song Giang,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Giang Sơn,Huyện Gia Bình,Tỉnh Bắc Ninh
Xã Trung Chính,Huyện Lương Tài,Tỉnh Bắc Ninh
Xã Tân Lãng,Huyện Lương Tài,Tỉnh Bắc Ninh
Xã Lâm Thao,Huyện Lương Tài,Tỉnh Bắc Ninh
Xã Trung Kênh,Huyện Lương Tài,Tỉnh Bắc Ninh
Thị trấn Thứa,Huyện Lương Tài,Tỉnh Bắc Ninh
Xã Minh Tân,Huyện Lương Tài,Tỉnh Bắc Ninh
Xã Phú Lương,Huyện Lương Tài,Tỉnh Bắc Ninh
Thị trấn Lim,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Minh Đạo,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Tân Chi,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Phú Lâm,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Nội Duệ,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Hoàn Sơn,Huyện Tiên Du,Tỉnh Bắc Ninh
Xã Hòa Tiến,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Đông Tiến,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Tam Giang,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Trung Nghĩa,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Long Châu,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Thụy Hòa,Huyện Yên Phong,Tỉnh Bắc Ninh
Xã Văn Môn,Huyện Yên Phong,Tỉnh Bắc Ninh
Phường Kim Chân,Thành phố Bắc Ninh,Tỉnh Bắc Ninh
Phường Đại Phúc,Thành phố Bắc Ninh,Tỉnh Bắc Ninh
Phường Hạp Lĩnh,Thành phố Bắc Ninh,Tỉnh Bắc Ninh
Phường Vân Dương,Thành phố Bắc Ninh,Tỉnh Bắc Ninh
Phường Thị Cầu,Thành phố Bắc Ninh,Tỉnh Bắc Ninh
Phường Trang Hạ,Thành phố Từ Sơn,Tỉnh Bắc Ninh
Phường Châu Khê,Thành phố Từ Sơn,Tỉnh Bắc Ninh
Phường Đông Ngàn,Thành phố Từ Sơn,Tỉnh Bắc Ninh
Phường Tân Hồng,Thành phố Từ Sơn,Tỉnh Bắc Ninh
Phường Phù Khê,Thành phố Từ Sơn,Tỉnh Bắc Ninh
Xã Hán Quảng,Thị xã Quế Võ,Tỉnh Bắc Ninh
Xã Yên Giả,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Bồng Lai,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Cách Bi,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Đại Xuân,Thị xã Quế Võ,Tỉnh Bắc Ninh
Xã Châu Phong,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Bằng An,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Nhân Hòa,Thị xã Quế Võ,Tỉnh Bắc Ninh
Xã Đào Viên,Thị xã Quế Võ,Tỉnh Bắc Ninh
Xã Ngọc Xá,Thị xã Quế Võ,Tỉnh Bắc Ninh
Phường Xuân Lâm,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Xã Hoài Thượng,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Phường Hà Mãn,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Xã Đình Tổ,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Xã Ngũ Thái,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Phường Song Hồ,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Phường Trạm Lộ,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Xã Song Liễu,Thị xã Thuận Thành,Tỉnh Bắc Ninh
Xã Bảo Thuận,Huyện Ba Tri,Tỉnh Bến Tre
Xã An Ngãi Tây,Huyện Ba Tri,Tỉnh Bến Tre
Xã Vĩnh An,Huyện Ba Tri,Tỉnh Bến Tre
Xã An Hiệp,Huyện Ba Tri,Tỉnh Bến Tre
Xã Mỹ Chánh,Huyện Ba Tri,Tỉnh Bến Tre
Xã Tân Thủy,Huyện Ba Tri,Tỉnh Bến Tre
Thị trấn Ba Tri,Huyện Ba Tri,Tỉnh Bến Tre
Xã Thạnh Trị,Huyện Bình Đại,Tỉnh Bến Tre
Xã Thừa Đức,Huyện Bình Đại,Tỉnh Bến Tre
Thị trấn Bình Đại,Huyện Bình Đại,Tỉnh Bến Tre
Xã Bình Thắng,Huyện Bình Đại,Tỉnh Bến Tre
Xã Phú Long,Huyện Bình Đại,Tỉnh Bến Tre
Xã Thới Thuận,Huyện Bình Đại,Tỉnh Bến Tre
Xã Vang Quới Tây,Huyện Bình Đại,Tỉnh Bến Tre
Xã Thới Lai,Huyện Bình Đại,Tỉnh Bến Tre
Xã Tân Phú,Huyện Châu Thành,Tỉnh Bến Tre
Xã An Hóa,Huyện Châu Thành,Tỉnh Bến Tre
Xã Tiên Long,Huyện Châu Thành,Tỉnh Bến Tre
Xã Tân Thạch,Huyện Châu Thành,Tỉnh Bến Tre
Xã An Phước,Huyện Châu Thành,Tỉnh Bến Tre
Xã Hữu Định,Huyện Châu Thành,Tỉnh Bến Tre
Thị trấn Châu Thành,Huyện Châu Thành,Tỉnh Bến Tre
Xã Phước Thạnh,Huyện Châu Thành,Tỉnh Bến Tre
Xã Quới Thành,Huyện Châu Thành,Tỉnh Bến Tre
Xã Vĩnh Thành,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Hòa Nghĩa,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Phú Phụng,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Sơn Định,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Vĩnh Bình,Huyện Chợ Lách,Tỉnh Bến Tre
Thị trấn Chợ Lách,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Tân Thiềng,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Phú Sơn,Huyện Chợ Lách,Tỉnh Bến Tre
Xã Sơn Phú,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Thuận Điền,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Hưng Nhượng,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Tân Lợi Thạnh,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Long Mỹ,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Tân Hào,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Mỹ Thạnh,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Bình Thành,Huyện Giồng Trôm,Tỉnh Bến Tre
Xã Thanh Tân,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Tân Thanh Tây,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Hòa Lộc,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Tân Bình,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Thạnh Ngãi,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Khánh Thạnh Tân,Huyện Mỏ Cày Bắc,Tỉnh Bến Tre
Xã Thành Thới A,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
Xã An Thới,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
Xã Ngãi Đăng,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
Xã Hương Mỹ,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
Xã Cẩm Sơn,Huyện Mỏ Cày Nam,Tỉnh Bến Tre
Xã An Quy,Huyện Thạnh Phú,Tỉnh Bến Tre
Xã Hòa Lợi,Huyện Thạnh Phú,Tỉnh Bến Tre
Xã An Điền,Huyện Thạnh Phú,Tỉnh Bến Tre
Xã An Thuận,Huyện Thạnh Phú,Tỉnh Bến Tre
Xã Thới Thạnh,Huyện Thạnh Phú,Tỉnh Bến Tre
Xã Đại Điền,Huyện Thạnh Phú,Tỉnh Bến Tre
Phường Phú Khương,Thành phố Bến Tre,Tỉnh Bến Tre
Xã Mỹ Thạnh An,Thành phố Bến Tre,Tỉnh Bến Tre
Phường 8,Thành phố Bến Tre,Tỉnh Bến Tre
Phường 5,Thành phố Bến Tre,Tỉnh Bến Tre
Phường 4,Thành phố Bến Tre,Tỉnh Bến Tre
Xã Sơn Đông,Thành phố Bến Tre,Tỉnh Bến Tre
Xã Phú Hưng,Thành phố Bến Tre,Tỉnh Bến Tre
Phường 7,Thành phố Bến Tre,Tỉnh Bến Tre
Xã Phú Nhuận,Thành phố Bến Tre,Tỉnh Bến Tre
Xã Thạch Lâm,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Yên Thổ,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Vĩnh Phong,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Đức Hạnh,Huyện Bảo Lâm,Tỉnh Cao Bằng
Thị trấn Pác Miầu,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Thái Học,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Quảng Lâm,Huyện Bảo Lâm,Tỉnh Cao Bằng
Xã Khánh Xuân,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Hưng Đạo,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Hồng Trị,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Xuân Trường,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Sơn Lập,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Cốc Pàng,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Hồng An,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Sơn Lộ,Huyện Bảo Lạc,Tỉnh Cao Bằng
Thị trấn Bảo Lạc,Huyện Bảo Lạc,Tỉnh Cao Bằng
Xã Lê Chung,Huyện Hoà An,Tỉnh Cao Bằng
Xã Bạch Đằng,Huyện Hoà An,Tỉnh Cao Bằng
